,feature_montant,eps,min_samples_value,n_clusters,n_noise
0,Montant_class_minmax,0.105,3,20,8
1,Montant_class_minmax,0.105,4,18,14
2,Montant_class_minmax,0.105,5,18,14
3,Montant_class_minmax,0.105,10,15,64
4,Montant_class_minmax,0.105,15,14,151
5,Montant_class_minmax,0.105,20,11,246
6,Montant_class_minmax,0.106,3,20,8
7,Montant_class_minmax,0.106,4,18,14
8,Montant_class_minmax,0.106,5,18,14
9,Montant_class_minmax,0.106,10,15,64
10,Montant_class_minmax,0.106,15,14,151
11,Montant_class_minmax,0.106,20,11,246
12,Montant_class_minmax,0.107,3,19,8
13,Montant_class_minmax,0.107,4,17,14
14,Montant_class_minmax,0.107,5,17,14
15,Montant_class_minmax,0.107,10,15,60
16,Montant_class_minmax,0.107,15,12,146
17,Montant_class_minmax,0.107,20,11,245
18,Montant_class_minmax,0.108,3,19,8
19,Montant_class_minmax,0.108,4,17,14
20,Montant_class_minmax,0.108,5,17,14
21,Montant_class_minmax,0.108,10,15,60
22,Montant_class_minmax,0.108,15,12,146
23,Montant_class_minmax,0.108,20,11,245
24,Montant_class_minmax,0.109,3,19,7
25,Montant_class_minmax,0.109,4,17,13
26,Montant_class_minmax,0.109,5,17,13
27,Montant_class_minmax,0.109,10,15,58
28,Montant_class_minmax,0.109,15,12,143
29,Montant_class_minmax,0.109,20,11,245
30,Montant_class_minmax,0.11,3,19,7
31,Montant_class_minmax,0.11,4,17,13
32,Montant_class_minmax,0.11,5,17,13
33,Montant_class_minmax,0.11,10,15,58
34,Montant_class_minmax,0.11,15,12,142
35,Montant_class_minmax,0.11,20,11,244
36,Montant_class_minmax,0.111,3,19,7
37,Montant_class_minmax,0.111,4,17,13
38,Montant_class_minmax,0.111,5,17,13
39,Montant_class_minmax,0.111,10,15,58
40,Montant_class_minmax,0.111,15,12,142
41,Montant_class_minmax,0.111,20,11,244
42,Montant_class_minmax,0.112,3,19,7
43,Montant_class_minmax,0.112,4,17,13
44,Montant_class_minmax,0.112,5,17,13
45,Montant_class_minmax,0.112,10,15,58
46,Montant_class_minmax,0.112,15,13,127
47,Montant_class_minmax,0.112,20,12,222
48,Montant_class_minmax,0.113,3,19,7
49,Montant_class_minmax,0.113,4,17,13
50,Montant_class_minmax,0.113,5,17,13
51,Montant_class_minmax,0.113,10,15,58
52,Montant_class_minmax,0.113,15,13,127
53,Montant_class_minmax,0.113,20,12,222
54,Montant_class_minmax,0.114,3,19,7
55,Montant_class_minmax,0.114,4,17,13
56,Montant_class_minmax,0.114,5,17,13
57,Montant_class_minmax,0.114,10,15,58
58,Montant_class_minmax,0.114,15,14,106
59,Montant_class_minmax,0.114,20,12,222
60,Montant_class_minmax,0.11499999999999999,3,19,7
61,Montant_class_minmax,0.11499999999999999,4,17,13
62,Montant_class_minmax,0.11499999999999999,5,17,13
63,Montant_class_minmax,0.11499999999999999,10,15,58
64,Montant_class_minmax,0.11499999999999999,15,14,106
65,Montant_class_minmax,0.11499999999999999,20,12,222
66,Montant_class_minmax,0.11599999999999999,3,19,7
67,Montant_class_minmax,0.11599999999999999,4,17,13
68,Montant_class_minmax,0.11599999999999999,5,17,13
69,Montant_class_minmax,0.11599999999999999,10,15,58
70,Montant_class_minmax,0.11599999999999999,15,14,106
71,Montant_class_minmax,0.11599999999999999,20,12,222
72,Montant_class_minmax,0.11699999999999999,3,19,7
73,Montant_class_minmax,0.11699999999999999,4,17,13
74,Montant_class_minmax,0.11699999999999999,5,17,13
75,Montant_class_minmax,0.11699999999999999,10,14,58
76,Montant_class_minmax,0.11699999999999999,15,14,99
77,Montant_class_minmax,0.11699999999999999,20,12,222
78,Montant_class_minmax,0.118,3,19,7
79,Montant_class_minmax,0.118,4,17,13
80,Montant_class_minmax,0.118,5,17,13
81,Montant_class_minmax,0.118,10,14,58
82,Montant_class_minmax,0.118,15,14,99
83,Montant_class_minmax,0.118,20,12,222
84,Montant_class_minmax,0.119,3,18,7
85,Montant_class_minmax,0.119,4,16,13
86,Montant_class_minmax,0.119,5,16,13
87,Montant_class_minmax,0.119,10,14,58
88,Montant_class_minmax,0.119,15,14,94
89,Montant_class_minmax,0.119,20,13,202
90,Montant_class_minmax,0.12,3,18,7
91,Montant_class_minmax,0.12,4,16,13
92,Montant_class_minmax,0.12,5,16,13
93,Montant_class_minmax,0.12,10,14,58
94,Montant_class_minmax,0.12,15,14,93
95,Montant_class_minmax,0.12,20,13,202
96,Montant_class_minmax,0.121,3,18,7
97,Montant_class_minmax,0.121,4,16,13
98,Montant_class_minmax,0.121,5,16,13
99,Montant_class_minmax,0.121,10,14,58
100,Montant_class_minmax,0.121,15,14,93
101,Montant_class_minmax,0.121,20,13,202
102,Montant_class_minmax,0.122,3,18,7
103,Montant_class_minmax,0.122,4,16,13
104,Montant_class_minmax,0.122,5,16,13
105,Montant_class_minmax,0.122,10,14,56
106,Montant_class_minmax,0.122,15,14,88
107,Montant_class_minmax,0.122,20,14,179
108,Montant_class_minmax,0.123,3,18,7
109,Montant_class_minmax,0.123,4,16,13
110,Montant_class_minmax,0.123,5,16,13
111,Montant_class_minmax,0.123,10,14,56
112,Montant_class_minmax,0.123,15,14,88
113,Montant_class_minmax,0.123,20,14,179
114,Montant_class_minmax,0.124,3,18,7
115,Montant_class_minmax,0.124,4,16,13
116,Montant_class_minmax,0.124,5,16,13
117,Montant_class_minmax,0.124,10,14,56
118,Montant_class_minmax,0.124,15,14,87
119,Montant_class_minmax,0.124,20,13,178
